loan_id,borrower_id,loan_amount,tenure_months,interest_rate,status,default_label
118,4654,241259.06,12,11.57,Active,0
119,830,243269.87,24,10.9,Closed,1
120,349,273677.22,12,16.38,Active,0
121,3863,291030.85,24,9.82,Active,0
122,1298,107170.5,36,13.95,Closed,1
123,3358,232408.17,6,11.43,Active,1
124,2417,26108.59,12,13.21,Closed,1
125,2089,62069.02,18,8.69,Closed,0
126,628,207964.04,6,16.93,Closed,0
127,2649,122524.71,12,11.35,Closed,1
128,3356,221239.72,18,8.43,Closed,1
129,1020,102392.95,6,9.89,Active,1
130,1109,288354.63,24,17.8,Active,0
131,2164,227780.04,12,12.87,Active,1
132,3459,94751.83,12,17.34,Active,0
133,2157,73791.5,18,14.76,Closed,0
134,951,264519.63,36,15.55,Active,0
135,4850,308009.17,18,15.94,Active,0
136,4714,134666.7,24,13.75,Active,0
137,3428,68373.36,24,12.02,Active,0
138,4667,322287.01,12,9.73,Closed,0
139,4171,241169.93,24,15.65,Closed,0
140,2873,315299.95,6,16.56,Active,0
141,2693,237603.44,36,15.49,Closed,0
142,1113,139135.99,24,9.23,Closed,0
143,1611,187161.15,6,14.42,Closed,1
144,4529,172993.09,36,17.85,Active,0
145,3144,294945.59,18,15.76,Active,0
146,1664,43729.27,18,17.47,Active,1
147,4156,158307.75,24,10.06,Closed,0
148,3631,196551.1,18,17.62,Active,0
149,1918,49697.09,12,12.05,Closed,0
150,3683,152585.42,6,16.29,Active,1
151,1906,114682.32,6,14.05,Active,1
152,2860,59381.24,12,13.13,Closed,1
153,190,213707.12,12,13.45,Closed,0
154,1092,70269.31,18,10.65,Active,0
155,324,231958.22,18,8.68,Active,0
156,1906,125746.61,6,14.11,Closed,0
157,3689,119008.39,24,9.34,Closed,0
158,2290,151544.68,6,8.2,Closed,0
159,4847,250430.65,18,9.0,Active,0
160,1308,164172.25,18,11.71,Active,0
161,4513,211620.23,6,8.59,Closed,0
162,2536,171985.17,6,17.55,Active,0
163,1182,137417.47,18,13.44,Closed,0
164,231,90502.76,36,15.3,Closed,1
165,1238,84933.83,24,17.83,Closed,0
166,1677,190366.07,12,9.77,Active,0
167,4064,214124.04,18,15.93,Active,1
168,2373,172041.73,6,10.65,Active,0
169,1413,264412.34,24,9.0,Active,0
170,291,55071.69,12,11.05,Closed,0
171,813,202552.3,24,10.15,Closed,1
172,99,44650.34,12,13.46,Closed,1
173,1392,104407.84,6,17.34,Active,0
174,288,257310.01,6,13.95,Active,0
175,3203,132848.7,24,15.21,Active,0
176,4680,174872.04,18,9.97,Active,0
177,82,336036.0,18,12.65,Closed,0
178,246,137825.99,6,8.96,Active,1
179,1119,291056.1,18,17.55,Active,0
180,213,273764.38,24,10.16,Closed,0
181,733,275421.97,12,15.53,Active,0
182,3699,177126.55,12,9.6,Active,1
183,1673,206757.95,36,16.13,Active,1
184,4173,85156.15,24,16.85,Closed,0
185,4061,64204.33,12,9.86,Active,0
186,2080,137706.19,18,16.7,Closed,1
187,3339,201037.58,6,17.99,Active,0
188,4666,155032.08,12,13.47,Active,1
189,3883,112247.33,6,12.55,Closed,1
190,2007,129893.14,24,8.54,Active,0
191,1848,103215.59,18,10.93,Active,0
192,1505,77631.75,18,9.44,Closed,0
193,127,163602.22,12,11.42,Active,1
194,4815,176065.25,18,15.55,Active,1
195,140,67727.06,36,10.72,Closed,0
196,3887,218838.91,12,11.76,Active,0
197,1706,264290.39,12,12.21,Closed,0
198,2588,235042.85,6,10.25,Active,0
199,3853,89706.63,24,8.79,Closed,0
200,4938,94601.51,18,15.2,Active,0
201,1098,181867.33,18,17.48,Closed,0
202,4787,194253.14,36,11.51,Closed,1
203,304,105103.23,12,9.06,Active,0
204,2619,58109.0,36,13.81,Active,1
205,1399,43874.31,24,13.4,Closed,1
206,2340,81514.72,36,16.02,Closed,1
207,2092,235567.12,24,13.56,Closed,0
208,1040,111207.06,12,12.64,Active,0
209,80,186493.19,36,13.26,Closed,0
210,3738,108305.23,18,8.24,Active,0
211,3591,294857.74,36,17.76,Active,0
212,4685,162926.83,6,12.91,Active,0
213,703,240766.37,24,11.01,Active,1
214,3307,66291.38,36,15.37,Active,0
215,3220,275192.8,36,17.62,Active,0
216,1617,136106.23,18,17.8,Closed,1
217,4427,43621.85,18,13.1,Closed,0
218,3679,160215.85,6,13.04,Active,0
219,1836,77678.2,36,17.65,Closed,0
220,2610,240023.97,18,12.32,Active,0
221,80,212403.65,12,8.66,Active,0
222,1633,262585.05,24,14.86,Active,1
223,120,221184.06,18,17.03,Active,0
224,1706,228622.03,12,8.02,Active,0
225,149,25674.09,36,13.19,Active,0
226,2390,128060.9,24,12.53,Active,0
227,40,234611.12,6,13.16,Active,0
228,994,250927.42,18,9.19,Active,1
229,190,153295.71,36,17.55,Active,1
230,3150,46314.38,36,15.53,Active,1
231,1926,287415.34,12,14.86,Active,0
232,3742,110553.18,36,14.73,Closed,1
233,367,263444.8,24,8.09,Closed,1
234,2460,50792.49,36,17.89,Active,0
235,4487,36813.31,24,12.8,Closed,1
236,3183,305753.45,12,8.41,Active,0
237,4889,182457.2,36,13.15,Active,0
238,2041,129604.33,24,9.19,Active,0
239,2002,85156.87,24,8.82,Active,1
240,4288,164679.61,6,11.18,Closed,1
241,2123,172602.69,18,13.01,Closed,0
242,1230,260641.0,6,9.89,Closed,0
243,99,35289.91,6,11.63,Closed,0
244,1960,264488.78,18,12.13,Active,0
245,3658,59737.72,18,11.75,Closed,0
246,2322,113317.54,36,16.91,Closed,0
247,3314,124039.04,24,12.42,Active,0
248,783,108813.49,6,13.51,Closed,1
249,132,285190.96,12,15.06,Active,1
250,4154,320494.82,12,17.21,Active,0
251,4206,225787.52,24,13.96,Closed,1
252,10,82152.63,12,17.61,Closed,0
253,1153,257556.49,6,13.31,Active,0
254,4071,10000.0,18,14.89,Active,0
255,3831,195543.86,12,15.9,Closed,0
256,1579,329394.85,24,11.12,Active,0
257,2822,318448.31,24,8.17,Closed,0
258,715,49597.97,12,14.2,Active,1
259,4520,226056.35,18,9.07,Active,0
260,3430,272461.05,6,14.28,Closed,1
261,2835,131323.16,36,8.18,Closed,0
262,938,108153.6,6,8.61,Active,0
263,1795,260859.96,6,10.65,Closed,0
264,193,155934.4,6,8.85,Active,0
265,4280,178278.42,12,12.58,Active,0
266,736,178282.85,12,10.01,Active,0
267,4652,228942.85,24,8.69,Active,0
268,1025,182750.54,6,14.55,Closed,0
269,4362,109387.39,18,8.12,Closed,0
270,3566,186875.15,18,10.24,Closed,0
271,2557,93878.5,24,15.25,Closed,0
272,1456,68329.27,12,17.78,Closed,1
273,1793,274705.49,18,11.83,Active,0
274,878,190303.6,36,8.88,Active,1
275,57,141817.44,18,12.99,Active,1
276,2533,140396.61,24,16.45,Closed,1
277,1925,96029.98,18,13.58,Closed,0
278,681,261435.64,24,17.99,Active,0
279,1337,174296.18,18,15.57,Active,0
280,3759,145789.49,12,11.94,Active,1
281,4173,100731.14,24,16.47,Closed,0
282,2877,260617.0,24,17.53,Active,0
283,2262,76697.65,6,17.56,Closed,0
284,3349,79533.19,36,12.42,Closed,0
285,2404,107876.99,24,12.67,Active,0
286,1308,156214.93,36,8.6,Active,0
287,2963,193732.54,6,8.36,Active,0
288,4181,156925.04,18,13.01,Closed,1
289,2469,180362.83,12,9.26,Closed,1
290,2228,117168.8,12,11.08,Closed,0
291,3435,283131.37,24,13.48,Active,0
292,1236,26150.32,6,11.36,Closed,1
293,2071,51379.08,36,15.38,Closed,0
294,1341,303649.23,18,10.57,Active,0
295,141,155043.55,24,14.6,Closed,0
296,2319,77348.33,6,15.66,Active,1
297,4040,69108.65,12,13.47,Active,0
298,4352,183311.38,12,12.64,Active,0
299,3515,40023.15,12,11.07,Closed,0
300,4807,205633.49,18,13.0,Active,0
301,531,267030.43,36,13.17,Closed,0
302,4398,123981.0,6,17.93,Closed,1
303,2128,70857.04,6,11.47,Active,1
304,826,93080.73,6,9.82,Active,1
305,3040,256108.57,18,9.96,Closed,0
306,674,95915.82,12,10.47,Active,0
307,971,308046.65,24,8.51,Closed,0
308,35,173311.74,12,12.97,Active,0
309,4139,302895.52,24,8.53,Active,0
310,1660,311539.97,12,8.62,Active,0
311,861,111813.15,36,12.47,Active,0
312,657,186097.7,6,16.08,Active,0
313,109,167907.85,12,10.98,Closed,0
314,957,238389.6,12,9.07,Closed,0
315,811,272055.28,36,16.23,Closed,0
316,374,183995.97,6,16.85,Closed,0
317,1275,330813.86,18,14.84,Active,0
318,4157,74054.16,18,8.99,Closed,0
319,3823,135076.08,36,11.29,Closed,0
320,78,87463.37,6,8.77,Closed,0
321,2792,310229.44,12,11.38,Active,0
322,978,227995.09,6,12.73,Active,1
323,4573,39762.92,36,14.76,Closed,1
324,4282,136224.3,6,12.72,Closed,0
325,4905,133063.8,6,15.15,Closed,0
326,918,75546.46,24,9.06,Active,1
327,4527,185548.05,36,9.11,Closed,0
328,1267,310242.46,12,16.94,Closed,0
329,2059,123133.04,24,12.9,Active,0
330,4387,240476.31,12,12.85,Active,0
331,331,295270.49,24,16.78,Active,0
332,58,224167.53,12,15.98,Active,1
333,4498,194877.51,18,15.84,Closed,0
334,4101,165986.27,6,8.15,Closed,0
335,2402,209228.37,12,15.98,Active,0
336,1748,324604.75,24,17.64,Active,0
337,996,250896.11,24,13.85,Closed,1
338,4936,50037.29,24,13.51,Closed,0
339,2127,255132.28,24,14.66,Active,0
340,3187,113807.08,24,14.82,Closed,1
341,544,171979.64,24,14.2,Active,1
342,2015,273433.86,36,16.5,Closed,1
343,1164,173156.78,6,11.22,Active,0
344,3331,66723.11,18,16.23,Closed,1
345,596,79199.32,6,12.8,Active,1
346,1783,274026.85,12,11.64,Closed,0
347,1283,124714.8,18,16.49,Active,0
348,4409,258051.67,12,13.78,Closed,1
349,4439,102958.5,18,13.03,Active,1
350,194,54596.73,6,11.01,Active,0
351,3483,295515.77,36,16.09,Active,0
352,127,121996.69,18,16.58,Active,0
353,1208,50080.7,6,11.68,Active,0
354,3089,215011.92,24,15.2,Closed,0
355,2383,91777.6,24,15.13,Active,0
356,1894,126052.89,36,16.63,Active,1
357,2539,258715.37,36,8.91,Active,0
358,2670,104058.22,6,16.2,Closed,0
359,4086,118579.9,24,10.6,Active,0
360,4019,311727.33,36,16.2,Closed,0
361,1002,123970.51,18,12.72,Closed,0
362,2630,172509.37,6,9.37,Active,0
363,3679,191827.73,24,11.3,Active,1
364,1098,166743.69,12,13.92,Closed,1
365,4151,217403.9,6,11.41,Closed,1
366,1268,103588.26,24,16.54,Active,1
367,4904,299182.5,24,9.61,Closed,0
368,155,181735.83,12,10.96,Closed,0
369,3565,30955.84,18,15.72,Closed,1
370,3790,278734.38,24,9.41,Closed,0
371,530,119801.91,24,9.02,Closed,0
372,1668,283294.87,6,16.27,Closed,0
373,1004,26060.78,18,11.84,Closed,1
374,3938,257398.42,36,17.95,Active,0
375,3942,302096.17,6,10.17,Closed,0
376,2606,143461.14,18,17.79,Active,0
377,1522,149046.27,24,10.97,Active,1
378,2472,221646.1,36,16.47,Closed,0
379,1484,113471.12,24,8.5,Active,0
380,2723,201215.3,18,15.71,Closed,0
381,4327,52366.23,24,17.81,Closed,0
382,1524,48417.48,36,13.16,Closed,1
383,375,108499.2,24,12.17,Closed,0
384,1115,291480.37,6,12.45,Closed,0
385,1695,259885.7,12,12.78,Active,0
386,1692,168128.79,18,10.08,Closed,0
387,3899,173916.93,24,14.92,Closed,0
388,4946,31563.5,12,10.18,Closed,0
389,4129,158376.46,24,14.07,Closed,0
390,248,79571.86,18,13.17,Closed,0
391,4845,165925.7,12,9.76,Closed,0
392,3036,204712.2,12,10.6,Closed,0
393,209,129309.77,36,17.44,Active,0
394,3886,252027.67,12,13.78,Active,0
395,2682,278285.57,36,16.54,Closed,0
396,2109,212939.1,6,11.14,Closed,0
397,3371,126721.44,24,8.58,Closed,0
398,4098,48390.96,36,16.82,Closed,0
399,2778,64241.59,18,10.55,Closed,0
400,631,291431.49,36,15.04,Active,0
401,1977,62605.49,36,10.6,Active,1
402,3907,240695.58,12,16.6,Active,1
403,3731,280376.68,12,9.8,Active,0
404,1438,199478.6,12,12.82,Active,0
405,615,57970.03,24,16.3,Closed,0
406,3490,181049.07,36,9.21,Closed,0
407,874,193502.66,24,9.64,Closed,0
408,1292,239237.73,36,16.83,Closed,1
409,935,296697.54,18,10.68,Closed,0
410,4728,117684.18,36,10.33,Closed,0
411,1440,194731.42,6,16.36,Active,0
412,1699,53872.2,36,16.56,Active,0
413,1534,238605.41,6,16.98,Closed,0
414,4659,344265.13,36,8.14,Closed,0
415,1511,121713.62,24,10.69,Active,1
416,497,216722.72,24,13.46,Active,0
417,3692,82660.55,24,16.84,Active,0
418,1770,62906.04,6,12.0,Active,0
419,3651,177456.04,6,16.88,Active,0
420,270,24312.63,18,13.83,Active,0
421,1514,94493.31,24,16.35,Active,1
422,2080,117756.33,18,11.77,Active,0
423,927,80884.81,24,9.6,Closed,0
424,3634,88397.91,24,17.79,Active,1
425,4424,284732.91,12,17.58,Active,0
426,3258,213072.54,18,10.6,Active,0
427,2866,96563.11,36,15.29,Closed,0
428,891,129847.95,36,10.19,Active,0
429,1043,159812.59,24,15.01,Closed,0
430,1477,334833.82,36,16.61,Active,0
431,4691,120970.52,6,16.22,Active,0
432,2852,290412.46,6,10.98,Closed,0
433,488,146925.18,12,16.3,Closed,0
434,3708,229925.12,24,14.46,Active,0
435,3717,152369.64,12,13.53,Closed,0
436,2916,33866.78,12,13.88,Closed,0
437,4804,200226.53,18,8.23,Active,0
438,4143,80264.84,36,12.35,Active,0
439,3430,283438.36,24,17.94,Closed,0
440,178,113916.72,12,8.45,Active,0
441,847,178023.24,36,17.6,Active,0
442,4875,87700.2,6,9.66,Active,0
443,3043,274277.47,18,16.82,Active,0
444,267,70024.47,18,10.59,Active,0
445,4791,43628.23,12,9.73,Active,0
446,2855,211096.01,12,10.47,Active,0
447,54,85675.04,12,10.45,Active,1
448,334,214074.66,12,16.1,Closed,0
449,2819,272144.2,6,9.14,Active,0
450,2766,200395.51,18,11.29,Active,0
451,1852,248483.33,24,13.81,Closed,0
452,1706,257201.44,36,9.94,Active,0
453,1579,322647.96,12,10.95,Active,0
454,3229,215899.71,12,13.92,Active,0
455,60,129834.44,36,8.27,Active,0
456,1004,61043.6,12,16.32,Closed,0
457,2214,252400.36,6,9.62,Active,0
458,3640,258369.75,18,15.51,Closed,0
459,2565,118322.87,36,14.01,Active,1
460,463,302043.06,6,9.43,Closed,1
461,3289,314120.9,12,8.75,Closed,0
462,2532,143102.01,36,11.72,Active,1
463,538,310613.68,6,11.84,Closed,0
464,762,216839.11,36,10.03,Closed,0
465,2801,78946.08,36,17.86,Active,0
466,4801,141468.56,12,9.81,Closed,0
467,623,266627.12,12,9.0,Closed,0
468,1902,176031.85,24,9.28,Closed,0
469,2246,95519.56,24,11.19,Closed,0
470,2064,83695.1,24,9.03,Active,0
471,209,162801.01,36,12.26,Closed,0
472,1873,206008.62,6,8.05,Active,0
473,4367,313937.68,18,11.15,Active,0
474,2216,143741.61,6,9.91,Active,1
475,515,90830.23,18,14.91,Closed,0
476,2906,289426.95,6,11.18,Closed,0
477,1720,237193.95,12,9.0,Active,0
478,2454,250591.69,12,14.66,Active,1
479,4239,120408.26,24,12.85,Closed,0
480,1145,179116.31,18,12.66,Active,0
481,3067,85325.18,18,16.6,Active,0
482,766,243740.05,36,13.45,Closed,0
483,2633,260362.3,36,15.91,Active,0
484,61,67344.29,18,15.72,Closed,0
485,4036,211070.45,6,12.31,Closed,1
486,4707,267788.22,12,17.62,Active,0
487,1394,288857.56,36,13.9,Closed,1
488,2903,237464.19,6,11.58,Active,0
489,1360,200217.04,18,12.67,Closed,0
490,3550,181981.03,18,8.57,Closed,0
491,4125,39917.2,18,15.35,Active,0
492,4436,154136.06,12,17.73,Closed,0
493,3582,220448.26,24,9.35,Active,0
494,148,237812.33,36,10.66,Closed,1
495,1027,226258.08,36,15.79,Closed,0
496,2500,89029.07,12,16.62,Closed,0
497,3058,229827.54,6,15.86,Closed,0
498,1383,208466.64,36,9.59,Active,0
499,2871,319182.1,6,15.55,Active,0
500,2890,248773.55,24,9.68,Closed,1
501,3664,85048.23,12,13.52,Active,1
502,4825,195593.97,18,16.81,Active,1
503,743,86489.31,12,15.93,Active,0
504,2241,261689.14,6,10.87,Active,0
505,4867,57845.06,6,15.88,Closed,0
506,3232,96602.06,12,16.31,Closed,0
507,326,215413.46,12,12.1,Active,0
508,2149,229423.16,18,16.28,Active,0
509,4758,300343.77,18,12.3,Active,0
510,547,234219.76,24,16.36,Active,0
511,154,211246.65,12,14.15,Active,1
512,692,68214.62,36,10.2,Closed,0
513,1645,210409.83,36,14.19,Active,0
514,1314,162714.15,18,16.36,Active,1
515,712,311881.1,36,10.22,Active,0
516,384,234946.07,24,17.65,Active,1
517,3780,86913.64,24,14.59,Closed,0
518,3277,210785.48,18,12.0,Closed,0
519,450,209455.18,24,17.76,Active,0
520,3203,157610.2,18,10.18,Closed,1
521,85,159481.64,6,13.72,Active,0
522,3794,211710.27,12,10.0,Closed,1
523,739,323297.47,24,16.26,Active,0
524,1827,145717.22,6,10.06,Active,0
525,3362,110981.98,6,8.12,Closed,0
526,2320,221968.73,6,17.65,Closed,0
527,1125,186153.68,12,15.15,Closed,1
528,2859,224381.09,18,17.0,Closed,0
529,953,324131.67,12,12.6,Closed,1
530,3850,219545.07,24,13.23,Closed,0
531,3443,267777.93,6,12.22,Active,0
532,2057,71780.18,36,10.92,Active,1
533,2273,112451.33,24,16.09,Closed,0
534,2686,312785.8,18,9.0,Closed,0
535,162,188923.39,6,16.36,Closed,0
536,4626,69885.58,12,9.72,Active,0
537,338,257021.56,12,10.87,Active,0
538,3648,245628.24,18,10.67,Closed,0
539,638,299014.48,24,9.68,Closed,0
540,2830,246692.99,24,15.81,Active,0
541,4105,77367.72,24,13.73,Closed,0
542,4672,10000.0,6,9.66,Closed,1
543,4392,183187.34,18,15.45,Closed,0
544,1121,285867.13,24,13.59,Active,0
545,2301,86341.91,24,9.73,Closed,1
546,2181,64769.15,6,14.53,Active,0
547,4880,139312.02,18,10.27,Closed,0
548,2564,185328.48,24,15.42,Closed,0
549,1429,249189.5,6,11.91,Closed,1
550,1921,231585.84,18,15.8,Active,0
551,267,79263.28,36,15.81,Closed,0
552,4372,169213.11,6,10.62,Closed,0
553,409,171797.21,18,12.89,Closed,1
554,769,294711.29,18,10.22,Closed,0
555,2260,263126.51,12,12.57,Closed,0
556,3074,232059.06,6,13.42,Closed,1
557,2879,49706.46,24,10.56,Closed,0
558,3829,146411.05,12,14.79,Closed,0
559,1916,87698.42,24,13.53,Active,1
560,3013,242384.08,18,16.82,Active,0
561,4256,89768.15,18,16.16,Active,0
562,490,159802.81,12,12.53,Active,0
563,4726,202222.09,6,8.11,Closed,0
564,2741,225262.97,6,14.98,Closed,1
565,168,136520.33,18,17.76,Closed,0
566,3375,235345.19,24,8.33,Active,0
567,1867,89013.87,12,12.44,Closed,0
568,4851,121666.41,36,10.46,Active,0
569,3247,274100.0,24,14.45,Active,0
570,183,151145.15,24,12.71,Active,0
571,4490,218696.48,12,9.83,Active,0
572,3446,290001.77,24,16.88,Closed,1
573,4708,47647.95,18,15.76,Active,0
574,4194,157920.71,24,13.08,Closed,1
575,2696,274508.72,12,13.02,Closed,0
576,4898,233077.72,6,11.87,Active,0
577,4692,169060.45,24,10.04,Active,0
578,4220,242280.32,36,16.68,Closed,0
579,3276,295275.6,6,15.42,Closed,0
580,2644,278801.99,6,16.44,Closed,0
581,4678,290420.42,12,9.39,Active,0
582,3731,299047.66,6,10.62,Closed,0
583,637,286547.11,36,16.64,Closed,0
584,244,54736.67,24,11.91,Active,1
585,502,173172.61,6,12.02,Active,1
586,4734,203737.26,6,12.75,Active,1
587,4170,269831.86,36,8.8,Active,0
588,4019,309915.44,6,13.62,Closed,0
589,2645,326163.88,12,15.73,Active,0
590,3799,59287.99,6,12.58,Active,0
591,4374,315811.28,24,16.22,Closed,0
592,2150,36782.22,12,12.05,Closed,0
593,1293,74947.64,6,10.06,Active,1
594,714,251690.28,12,17.58,Closed,0
595,4928,323360.71,6,9.13,Closed,0
596,4634,301006.0,36,17.78,Closed,0
597,220,235254.86,24,13.99,Active,0
598,2786,217222.47,36,12.39,Active,1
599,3014,261844.07,18,17.96,Active,0
600,2225,306452.63,12,13.61,Closed,0
601,2010,104740.47,6,14.97,Active,1
602,3817,282956.32,36,9.12,Closed,0
603,4113,258076.27,6,11.86,Closed,0
604,2221,264783.74,12,14.78,Closed,0
605,4323,70629.04,36,16.64,Active,0
606,844,302089.97,24,14.5,Closed,0
607,4759,311405.62,12,17.01,Active,0
608,2692,43045.83,6,10.0,Closed,0
609,380,89930.46,6,12.76,Active,1
610,3378,233196.16,18,8.43,Active,0
611,1668,345922.81,6,13.13,Active,0
612,4241,217989.83,6,12.54,Closed,0
613,1231,327944.6,36,9.66,Closed,0
614,4508,75401.48,12,14.51,Closed,0
615,2451,177436.92,36,11.26,Active,0
616,158,233886.58,24,9.47,Closed,1
617,4629,103225.97,12,14.42,Closed,0
618,2258,215041.15,6,8.75,Active,0
619,3466,274679.18,36,14.85,Closed,1
620,903,129362.6,12,16.0,Closed,0
621,3211,243378.37,12,8.16,Active,0
622,4345,68684.54,12,16.41,Active,0
623,984,169597.59,24,8.57,Active,0
624,3452,130956.82,12,14.73,Closed,0
625,2299,261248.44,18,10.18,Closed,0
626,1507,81356.16,18,11.34,Closed,1
627,49,222944.36,6,9.79,Closed,0
628,1169,227761.7,18,9.62,Closed,0
629,1761,231958.96,24,13.97,Active,0
630,1280,148850.85,12,12.59,Active,1
631,74,79875.3,12,13.51,Closed,1
632,4669,231082.96,24,12.05,Active,1
633,2048,301525.67,36,11.77,Closed,0
634,7,215163.78,12,17.18,Closed,0
635,1985,155023.97,24,11.18,Closed,0
636,345,73983.56,18,11.55,Closed,1
637,2096,216188.8,36,15.54,Closed,0
638,3009,251909.67,18,14.8,Active,0
639,3278,316374.55,18,16.4,Active,0
640,974,115697.77,18,16.74,Closed,0
641,4083,147023.49,12,13.18,Closed,0
642,3278,295256.21,24,9.52,Active,0
643,1042,175663.66,12,12.28,Closed,0
644,3304,182569.88,24,14.04,Closed,0
645,2325,268140.62,36,8.74,Closed,0
646,4764,279624.63,18,13.67,Closed,0
647,1427,123893.35,12,15.48,Closed,1
648,1524,80461.64,36,13.24,Active,0
649,1359,284312.31,24,13.64,Active,1
650,91,190851.62,24,12.17,Active,0
651,3717,186710.52,36,13.83,Active,0
652,1550,113916.61,18,11.77,Active,0
653,4817,183372.63,36,15.91,Active,0
654,1765,145597.09,18,15.51,Closed,0
655,3276,314025.23,36,13.15,Closed,0
