borrower_id,date,amount,txn_type,channel
2859,2023-12-05,56.01,credit,Bank Transfer
146,2024-06-15,3331.61,debit,Wallet
1560,2025-06-04,4393.83,credit,Wallet
1889,2025-08-27,5920.66,debit,Bank Transfer
1649,2024-08-25,1699.29,debit,Cash
4059,2024-10-06,3035.82,credit,Cash
804,2025-07-14,5260.71,debit,Wallet
1999,2023-10-21,5169.78,credit,Wallet
492,2025-07-18,5755.24,credit,Bank Transfer
4346,2024-03-13,5887.35,credit,UPI
2108,2024-02-05,5677.19,credit,Wallet
1778,2024-10-28,5387.31,credit,Cash
543,2024-03-15,5111.48,credit,Cash
3307,2025-08-06,6329.53,debit,Bank Transfer
4073,2024-09-19,521.35,debit,Wallet
2165,2024-10-02,8088.67,debit,Cash
3243,2024-07-24,591.04,debit,Wallet
1867,2024-12-24,2841.68,debit,Cash
815,2025-06-01,4546.48,debit,UPI
4263,2024-03-28,6345.23,credit,Bank Transfer
379,2024-06-05,990.53,credit,Wallet
2289,2025-01-26,4943.75,credit,Cash
4794,2025-06-01,6584.79,credit,Bank Transfer
3205,2025-03-20,6989.04,debit,Wallet
4911,2024-02-15,3605.34,credit,Bank Transfer
1794,2024-01-17,4398.33,debit,Wallet
1343,2024-10-30,3767.7,credit,Bank Transfer
2385,2025-09-06,4214.65,credit,Wallet
1094,2024-08-24,2936.35,debit,Wallet
665,2025-09-24,3221.5,credit,Wallet
3913,2023-10-21,5868.75,credit,UPI
1709,2024-11-18,5263.23,debit,UPI
4778,2025-06-07,5983.17,credit,Wallet
3174,2025-09-05,5428.03,debit,Cash
1527,2023-10-23,6408.68,credit,UPI
3749,2025-08-17,6756.43,debit,Bank Transfer
4831,2025-08-23,1516.57,debit,UPI
2446,2024-01-17,3291.38,debit,Wallet
3926,2025-03-28,4537.25,credit,UPI
2295,2023-10-23,4954.64,debit,Cash
1834,2024-09-15,3659.82,debit,Wallet
4824,2025-06-14,6824.05,debit,UPI
3566,2024-11-27,8959.9,credit,Wallet
3267,2025-03-23,5372.32,credit,Bank Transfer
2005,2024-02-17,5168.68,debit,UPI
3285,2024-10-05,6698.91,credit,UPI
317,2024-09-29,1268.32,debit,Cash
1703,2024-09-15,5056.94,credit,UPI
3883,2025-04-15,6958.07,debit,Cash
2990,2025-04-22,3713.69,debit,Cash
1517,2024-01-14,2546.88,credit,UPI
4126,2025-04-25,4628.39,debit,UPI
3147,2024-05-18,4878.63,credit,Wallet
4699,2024-06-07,3182.7,debit,Wallet
1802,2025-03-07,9192.32,debit,UPI
393,2024-10-03,4042.61,debit,Wallet
1739,2024-10-20,2692.68,debit,Bank Transfer
3375,2024-07-29,4812.76,debit,UPI
302,2023-10-18,6815.72,debit,Wallet
2139,2024-12-31,5034.83,debit,Cash
4796,2023-10-24,5971.19,credit,Wallet
813,2025-08-11,3256.98,debit,Wallet
1264,2024-02-02,7975.38,credit,Wallet
4698,2023-11-22,6123.42,credit,Wallet
4422,2024-01-29,7095.4,debit,Cash
3497,2025-07-05,5730.32,debit,Wallet
3504,2024-01-28,6649.77,credit,Wallet
3160,2024-05-20,3253.89,credit,Bank Transfer
1050,2024-05-17,4017.18,debit,Cash
3302,2024-03-24,7692.96,credit,UPI
3710,2025-02-24,8119.48,debit,Bank Transfer
92,2023-11-24,2705.87,debit,UPI
4579,2025-04-10,5499.47,debit,UPI
1604,2024-10-05,4138.11,credit,UPI
801,2025-06-09,3605.94,credit,Wallet
2600,2025-02-13,5569.68,credit,Cash
37,2025-10-07,7281.93,debit,UPI
4074,2023-12-25,5903.32,debit,Wallet
1013,2025-01-12,4360.98,credit,Bank Transfer
3394,2025-08-26,6029.72,credit,Wallet
3494,2025-03-21,4280.05,debit,UPI
1402,2024-08-25,5824.23,credit,Cash
4596,2024-01-13,7792.93,credit,Cash
1400,2024-12-14,845.68,credit,Bank Transfer
2410,2025-01-21,6594.5,debit,Wallet
684,2024-01-05,1921.89,debit,Bank Transfer
758,2024-07-10,7456.66,debit,Bank Transfer
4601,2025-01-05,3725.95,debit,Wallet
3353,2024-06-29,2564.66,credit,Wallet
2908,2024-08-04,6390.54,debit,UPI
2448,2025-05-02,5728.34,credit,Cash
1615,2024-08-10,3001.63,credit,Cash
4277,2023-11-16,2494.0,debit,UPI
4735,2025-01-05,4625.04,credit,Cash
3239,2025-02-27,2591.83,credit,Wallet
3320,2024-11-04,2877.05,debit,Bank Transfer
3669,2024-04-06,5231.24,debit,Bank Transfer
1373,2024-05-15,3068.26,debit,Cash
2582,2024-04-29,5853.08,debit,UPI
3744,2023-10-30,7980.29,credit,Bank Transfer
2458,2025-03-22,4702.89,debit,Cash
394,2024-02-06,5260.3,credit,Wallet
2195,2025-09-01,9036.19,debit,Bank Transfer
1161,2025-06-22,2624.8,debit,Wallet
4867,2025-09-07,7382.47,debit,Wallet
908,2025-10-08,7141.72,credit,Wallet
3357,2024-07-21,6708.63,credit,Wallet
1904,2025-03-21,7583.5,credit,UPI
236,2024-03-09,5561.15,credit,Wallet
4662,2024-09-17,3834.14,debit,Wallet
3291,2024-03-12,7189.15,debit,UPI
430,2025-03-08,7265.68,credit,Cash
113,2024-01-18,7210.63,credit,Cash
3524,2023-12-21,5089.0,debit,Cash
1780,2023-12-12,3567.61,credit,Cash
2034,2024-04-23,5382.72,debit,Bank Transfer
1481,2025-10-06,6884.46,credit,UPI
4936,2025-03-15,7048.7,debit,UPI
1354,2024-09-17,4140.65,debit,Bank Transfer
3289,2024-07-08,5630.75,credit,UPI
1212,2024-05-12,2382.44,credit,Cash
2958,2025-02-20,6969.9,debit,UPI
4727,2024-08-20,3433.38,debit,UPI
654,2025-04-27,6570.51,credit,Wallet
2731,2024-06-18,2701.39,debit,Bank Transfer
1305,2025-05-16,7062.83,debit,Bank Transfer
800,2024-12-19,5643.67,debit,Wallet
2618,2023-12-17,3437.28,debit,Cash
3456,2025-09-07,6382.71,debit,Bank Transfer
214,2023-11-14,3819.28,credit,Wallet
1209,2025-03-14,6499.11,debit,Bank Transfer
4023,2023-11-19,4451.78,credit,UPI
1570,2024-08-03,1557.91,credit,Bank Transfer
1610,2025-06-14,3035.17,credit,Wallet
829,2024-02-05,4139.17,debit,Cash
1453,2023-10-24,7736.38,debit,Bank Transfer
3710,2024-10-20,6802.29,credit,UPI
3396,2024-01-24,8247.72,credit,Cash
1828,2024-06-28,8307.27,debit,UPI
491,2024-12-09,3930.5,debit,Bank Transfer
4740,2024-03-18,4623.03,credit,Wallet
788,2024-04-26,4177.44,credit,Cash
3459,2024-09-24,3656.98,debit,Wallet
4428,2024-06-19,1317.01,credit,Wallet
4363,2024-09-15,4970.5,debit,Bank Transfer
4415,2024-11-27,2428.87,credit,Cash
4906,2025-07-03,4931.66,credit,Cash
3774,2024-03-27,9231.54,debit,UPI
2756,2024-05-16,3981.31,credit,Wallet
2727,2024-10-17,5389.55,credit,Bank Transfer
1739,2024-03-17,6813.3,debit,Cash
4731,2024-10-11,5560.58,debit,UPI
1884,2023-12-22,5584.97,debit,Wallet
1664,2024-03-02,4275.2,credit,UPI
251,2024-05-12,4536.24,debit,UPI
2099,2024-08-07,3079.98,credit,Cash
3423,2024-12-07,6692.09,debit,Bank Transfer
1010,2025-06-07,1517.02,credit,Bank Transfer
1093,2024-07-24,6942.18,credit,Cash
115,2025-09-26,2192.6,credit,Wallet
2985,2025-03-20,6925.21,debit,Cash
1557,2025-08-23,4292.36,credit,Bank Transfer
4603,2025-10-06,2536.26,debit,UPI
1877,2024-07-27,6158.6,debit,Cash
764,2024-05-12,6857.54,credit,Bank Transfer
3588,2025-06-17,4123.84,debit,Wallet
3840,2025-06-02,6441.22,debit,Wallet
1798,2023-11-03,429.83,credit,Bank Transfer
693,2024-03-17,2358.81,debit,UPI
2731,2025-09-05,7584.82,debit,UPI
3739,2025-09-11,4552.66,credit,UPI
1455,2025-03-07,1275.57,debit,Cash
1226,2025-06-06,3602.27,credit,Wallet
4690,2024-08-11,3153.2,credit,Bank Transfer
3881,2024-07-10,4668.08,debit,UPI
3789,2025-05-09,4258.5,debit,UPI
1872,2024-01-29,5357.86,debit,Cash
307,2024-07-31,4861.07,credit,Bank Transfer
3143,2024-06-17,7719.48,debit,UPI
3678,2025-07-06,5849.1,credit,Wallet
1723,2024-12-23,5915.34,debit,UPI
3204,2024-02-16,7330.31,debit,Bank Transfer
2153,2025-03-27,4222.46,credit,Cash
1492,2025-02-18,2476.25,debit,Cash
46,2024-05-17,7413.94,credit,Bank Transfer
450,2023-11-15,5271.68,credit,Cash
4132,2023-11-12,5278.7,credit,UPI
4838,2025-07-22,3733.34,credit,Cash
619,2025-02-22,3766.29,credit,Cash
3807,2024-01-29,6693.44,credit,Bank Transfer
2638,2024-11-20,6969.31,credit,Cash
4213,2025-02-14,6567.65,debit,UPI
4066,2023-12-20,6585.92,credit,Bank Transfer
1589,2025-02-16,6138.06,credit,Wallet
1143,2024-07-19,5263.05,debit,Cash
2248,2023-10-30,4649.24,debit,UPI
1133,2023-12-19,7420.65,debit,UPI
3618,2023-11-04,4252.56,credit,Bank Transfer
2730,2025-04-29,5739.96,debit,Wallet
1983,2024-05-09,3391.97,credit,Wallet
325,2025-06-11,3681.4,credit,Wallet
4204,2024-10-14,4527.69,debit,Cash
2425,2024-01-09,3392.12,debit,Wallet
2963,2025-09-14,6595.7,debit,UPI
1092,2024-03-14,2303.93,credit,Wallet
4966,2023-11-28,5198.46,debit,Bank Transfer
1294,2025-01-31,5265.02,credit,UPI
292,2025-03-31,1378.4,debit,Cash
648,2025-10-09,4117.95,debit,UPI
2738,2024-06-08,5511.4,debit,Wallet
3867,2024-08-20,5857.46,debit,Wallet
857,2025-02-08,4591.39,credit,Bank Transfer
596,2024-03-24,6353.78,credit,Cash
4978,2024-12-28,4781.37,credit,UPI
71,2025-04-27,5027.31,debit,Cash
1741,2025-08-03,5503.31,debit,Cash
2077,2025-06-02,6854.0,debit,Wallet
2618,2023-12-22,3648.56,debit,Bank Transfer
2912,2023-11-29,4026.36,credit,Bank Transfer
2647,2025-03-29,3662.21,debit,Bank Transfer
4921,2024-12-21,4335.6,credit,Wallet
4701,2024-11-05,7852.47,credit,Bank Transfer
1969,2024-12-26,6145.45,debit,Bank Transfer
4463,2024-04-06,2737.82,debit,Bank Transfer
10,2024-11-25,3799.11,debit,UPI
1197,2024-11-01,5745.53,debit,UPI
4679,2025-04-01,3186.98,debit,Bank Transfer
398,2025-05-31,3549.32,debit,Cash
863,2024-05-31,7689.92,credit,Cash
8,2025-06-11,3773.25,debit,Wallet
4086,2025-09-24,6909.33,credit,UPI
4368,2024-02-21,7510.65,credit,Bank Transfer
1883,2025-01-30,3533.08,credit,Cash
4751,2025-09-10,3220.07,credit,Cash
1662,2024-06-19,4447.74,debit,Wallet
3677,2025-09-12,2822.74,credit,Bank Transfer
1156,2023-12-04,5242.07,debit,Cash
2896,2024-11-18,4588.7,credit,Bank Transfer
829,2025-09-06,5721.16,credit,Wallet
4817,2025-04-22,7793.89,credit,Cash
1176,2025-01-16,6634.97,debit,Cash
2037,2023-11-23,5978.48,credit,Bank Transfer
4261,2025-04-10,1067.9,debit,UPI
2489,2023-11-23,5886.75,credit,Wallet
1416,2024-04-26,8445.26,debit,Bank Transfer
1453,2024-03-27,1021.05,credit,UPI
1055,2024-09-06,6378.77,credit,UPI
2672,2024-08-23,4681.28,debit,Bank Transfer
2540,2024-04-12,3300.41,debit,UPI
1194,2024-08-18,6602.26,debit,Wallet
600,2024-02-19,8419.41,credit,UPI
3186,2025-08-17,6550.46,credit,UPI
4054,2023-11-05,4257.62,credit,Cash
3949,2025-05-16,3113.06,debit,Wallet
1897,2023-12-17,5289.26,credit,Bank Transfer
781,2025-10-07,6746.34,debit,Wallet
86,2025-02-21,4225.89,debit,Cash
4043,2024-08-26,4419.23,credit,UPI
2521,2023-12-05,10644.0,credit,Cash
1459,2025-07-02,7157.3,debit,UPI
2325,2025-07-11,7300.26,debit,UPI
841,2024-12-09,2079.43,credit,UPI
3646,2025-05-10,3585.62,debit,Wallet
1682,2025-08-01,5149.36,debit,Cash
3277,2025-10-04,2997.72,credit,Bank Transfer
2762,2025-05-02,8200.79,debit,UPI
695,2025-06-28,7820.62,credit,UPI
2059,2025-07-16,3932.91,credit,UPI
1307,2025-08-14,8567.84,debit,Wallet
3506,2024-03-27,4991.5,debit,Wallet
2829,2025-10-13,10178.78,debit,Bank Transfer
3272,2025-07-09,5289.37,credit,Wallet
1984,2023-12-21,6152.39,credit,Cash
285,2025-10-02,7799.81,debit,UPI
3330,2025-02-26,7555.27,debit,Cash
700,2025-09-09,6021.46,credit,Wallet
273,2025-02-21,4717.72,credit,Bank Transfer
3117,2025-04-12,6028.27,credit,Wallet
466,2023-10-24,3367.63,credit,Wallet
1872,2025-01-08,5304.27,credit,Bank Transfer
3195,2024-10-15,2781.38,debit,Cash
731,2024-03-14,1438.24,debit,Wallet
2296,2024-09-09,5100.85,credit,Bank Transfer
237,2024-10-20,7524.56,credit,Cash
1159,2025-10-02,6851.61,debit,Cash
3367,2023-12-26,4836.18,debit,Bank Transfer
3669,2024-12-18,8493.98,debit,Cash
1217,2024-01-17,3861.88,credit,Wallet
1286,2024-05-30,1164.33,debit,Cash
4952,2025-02-16,635.8,credit,UPI
2024,2025-01-03,2637.62,credit,Cash
2505,2024-09-28,6633.25,credit,Wallet
590,2024-08-11,3730.39,debit,Bank Transfer
3312,2025-07-10,5921.92,credit,Bank Transfer
3246,2025-02-02,8292.57,credit,Wallet
2067,2025-04-23,2799.81,debit,UPI
3002,2024-01-01,5957.0,debit,Bank Transfer
4292,2025-06-02,6077.93,credit,Wallet
684,2024-08-25,3278.52,debit,UPI
1636,2025-03-05,7708.42,debit,Cash
4279,2023-12-28,4424.59,credit,Cash
2777,2024-10-14,4232.49,credit,Cash
2622,2024-08-04,9223.23,debit,Cash
683,2025-08-04,6045.53,debit,Bank Transfer
3894,2025-02-10,6850.58,debit,UPI
2456,2024-11-17,7709.79,debit,UPI
2436,2025-09-17,3699.05,credit,Bank Transfer
890,2024-08-12,7499.64,debit,Cash
3412,2024-04-07,3996.21,debit,Wallet
1270,2024-11-19,3910.75,debit,UPI
3237,2025-08-10,4456.0,credit,Bank Transfer
3309,2025-02-16,3755.87,debit,Cash
219,2023-11-04,6644.31,credit,Wallet
1313,2025-04-02,5534.42,debit,Wallet
3223,2024-08-02,4017.55,debit,UPI
2925,2025-05-07,6349.01,credit,UPI
1785,2025-01-27,4449.64,debit,Cash
3787,2024-09-18,4343.86,debit,Wallet
3083,2024-08-06,5097.37,debit,Cash
4039,2024-12-23,5926.92,debit,Wallet
1520,2024-02-29,5779.7,debit,Cash
2105,2024-08-28,4273.5,credit,Wallet
4178,2024-09-06,6694.22,debit,UPI
1444,2025-06-16,4555.21,debit,Wallet
869,2024-10-28,3690.03,credit,Cash
3496,2024-12-07,2063.96,credit,Cash
2291,2025-03-03,6966.36,debit,Wallet
4992,2024-09-09,5024.78,debit,UPI
4775,2024-08-03,5421.74,debit,UPI
3335,2025-09-11,7091.61,credit,Cash
3753,2025-10-10,4045.19,debit,Wallet
740,2024-06-11,2251.2,credit,Bank Transfer
302,2024-03-02,5139.56,debit,Wallet
1538,2025-08-18,5615.92,credit,Bank Transfer
4270,2024-12-31,4474.3,debit,Bank Transfer
4266,2025-07-31,7947.48,credit,UPI
3101,2024-11-14,27.67,credit,Bank Transfer
3770,2025-01-05,7240.11,credit,Wallet
2847,2024-09-21,6582.31,debit,Cash
4387,2024-12-15,5913.54,debit,Bank Transfer
570,2024-04-11,1671.8,credit,UPI
2755,2024-06-06,7567.78,debit,UPI
2907,2024-11-12,2947.13,credit,UPI
3961,2024-01-25,3984.62,debit,Bank Transfer
3806,2024-06-23,4658.81,debit,UPI
931,2024-09-30,5814.84,debit,Wallet
1135,2024-09-21,6278.86,credit,Cash
1962,2024-08-30,6785.68,credit,Wallet
1029,2025-09-29,6631.71,debit,UPI
3278,2025-06-20,5505.85,debit,Cash
4586,2024-07-21,5831.85,credit,Cash
3869,2023-11-05,2818.49,debit,Wallet
1128,2025-06-22,3497.95,credit,Bank Transfer
2414,2025-08-14,6790.92,credit,Bank Transfer
556,2024-07-14,6674.42,credit,UPI
2552,2025-04-12,6447.6,debit,Wallet
1795,2023-11-05,3971.17,debit,Bank Transfer
1131,2023-11-08,6820.98,debit,UPI
2782,2023-12-09,2677.51,credit,UPI
2274,2025-03-20,7154.72,debit,UPI
180,2025-08-31,4478.26,debit,Wallet
3338,2024-01-17,8368.34,credit,Bank Transfer
4557,2024-09-04,1957.12,credit,Bank Transfer
4660,2025-07-31,8526.81,credit,Bank Transfer
1730,2025-05-10,4277.07,credit,Bank Transfer
4314,2024-06-14,4241.04,credit,Cash
1272,2024-11-24,5389.68,debit,Wallet
460,2024-03-03,3605.84,credit,UPI
880,2023-12-08,4855.34,debit,Wallet
3297,2025-06-10,3524.75,credit,Cash
4416,2024-12-22,3597.87,credit,UPI
2108,2025-09-10,5973.77,debit,Bank Transfer
3560,2024-07-01,3196.87,credit,Wallet
4522,2024-08-02,3463.61,credit,Bank Transfer
2115,2025-05-25,2254.42,credit,Wallet
711,2024-11-11,3992.14,credit,Bank Transfer
1977,2024-09-04,7623.2,credit,Cash
3096,2025-02-02,3308.13,debit,Bank Transfer
2334,2025-06-24,3536.73,credit,Bank Transfer
3821,2024-05-30,5387.84,debit,Cash
430,2024-08-26,4258.41,credit,Bank Transfer
1161,2023-11-27,9456.31,debit,Wallet
4484,2025-02-05,4674.94,debit,Bank Transfer
3242,2025-05-05,5670.44,debit,UPI
893,2023-10-21,6887.54,debit,Bank Transfer
3269,2025-01-01,6849.16,credit,Wallet
28,2024-04-26,5466.58,debit,Bank Transfer
472,2024-12-25,4677.75,debit,Wallet
4190,2025-01-26,9048.06,debit,Wallet
3421,2024-11-03,4800.48,credit,UPI
3859,2024-09-08,4116.62,credit,Wallet
786,2025-06-19,3708.3,debit,Wallet
1864,2024-10-11,1546.39,credit,Wallet
2396,2025-01-27,6643.23,credit,Cash
3739,2025-10-12,303.86,debit,Cash
4066,2025-01-17,4988.55,credit,UPI
917,2025-01-29,4590.28,debit,Bank Transfer
3239,2025-05-05,9479.93,debit,Cash
866,2024-12-22,1336.7,debit,Bank Transfer
3047,2023-10-31,3197.79,debit,Bank Transfer
4554,2023-12-31,4727.81,debit,Cash
4531,2025-07-20,4604.94,debit,Bank Transfer
2485,2024-06-22,3900.91,credit,UPI
3210,2023-10-27,4838.02,debit,UPI
2488,2025-01-30,2480.87,debit,Wallet
4715,2024-07-30,5714.39,debit,Bank Transfer
3724,2025-01-17,357.03,credit,UPI
2805,2024-10-12,4948.46,debit,Wallet
4736,2024-02-19,3799.29,debit,Cash
4337,2025-04-21,7032.58,credit,Bank Transfer
3477,2023-11-03,8510.62,credit,Cash
175,2025-02-12,4337.9,credit,Cash
1321,2024-12-30,7781.45,debit,Wallet
1767,2024-02-04,4367.77,credit,Wallet
2328,2024-02-27,3067.75,debit,Cash
4734,2024-03-31,8491.81,debit,Wallet
4288,2024-03-04,6041.55,debit,Wallet
3003,2025-01-02,5008.88,debit,Bank Transfer
4093,2025-06-09,6374.35,credit,UPI
3952,2025-01-23,5548.43,debit,Cash
2181,2023-10-29,4861.56,credit,Wallet
883,2024-02-17,2347.13,debit,Bank Transfer
930,2023-11-17,4458.93,credit,Wallet
2590,2025-05-11,6246.51,debit,Cash
2320,2024-10-16,4754.46,debit,UPI
3379,2024-03-08,6804.65,credit,Cash
966,2025-09-04,5767.31,credit,UPI
3137,2025-06-02,3243.73,credit,Wallet
3403,2025-05-14,2361.66,debit,Wallet
1332,2025-08-09,4685.64,debit,Cash
1759,2025-02-05,3951.54,credit,Cash
3108,2024-08-22,5672.64,credit,Wallet
1634,2024-04-24,3563.72,credit,Wallet
4233,2025-05-28,3769.22,credit,Bank Transfer
1585,2024-09-11,7106.14,debit,UPI
1035,2024-04-09,5296.41,credit,UPI
3527,2025-09-07,3594.55,debit,Wallet
1294,2025-04-07,5035.28,debit,Wallet
988,2024-05-15,7757.82,debit,Wallet
4792,2023-11-05,5587.57,credit,Bank Transfer
3840,2025-05-31,6185.9,credit,UPI
1292,2024-10-13,3495.53,credit,Bank Transfer
2923,2025-05-11,7052.84,debit,UPI
3129,2023-12-24,9636.2,debit,Wallet
224,2025-01-29,3417.06,debit,UPI
2877,2024-05-07,2636.21,credit,UPI
3536,2024-07-29,5351.08,debit,Bank Transfer
1359,2025-02-13,6751.01,debit,Cash
411,2024-12-27,4817.22,credit,Bank Transfer
2686,2025-08-06,2893.59,debit,Wallet
4172,2025-02-24,4782.83,debit,Bank Transfer
1494,2025-08-11,6196.18,credit,Cash
1033,2024-04-21,4185.94,credit,UPI
3153,2025-03-27,6214.51,debit,Wallet
3701,2024-11-17,7329.42,debit,UPI
2433,2024-10-12,5480.46,debit,Cash
461,2024-03-18,4944.1,credit,UPI
1728,2025-02-01,6658.69,debit,Cash
11,2024-04-20,3287.8,debit,Wallet
1418,2024-07-16,3090.58,credit,Wallet
225,2024-04-20,4466.86,debit,Wallet
3423,2025-03-30,4016.24,debit,UPI
4572,2024-05-10,3393.32,credit,Wallet
3177,2025-02-08,8660.94,credit,UPI
661,2025-08-03,9343.99,debit,Wallet
891,2025-09-29,4292.59,credit,Cash
334,2025-02-13,5183.44,debit,Wallet
2810,2024-08-19,4624.31,credit,Wallet
2989,2025-08-25,7215.0,credit,UPI
3329,2024-10-27,7611.29,debit,Bank Transfer
4472,2025-02-16,1445.47,credit,Cash
3457,2025-07-16,5952.02,debit,Cash
1369,2024-10-22,2386.36,credit,UPI
4450,2025-05-14,8516.54,debit,UPI
226,2024-12-01,5880.5,credit,UPI
1947,2025-07-04,3353.3,credit,Bank Transfer
201,2025-02-12,4517.36,debit,Cash
4934,2025-08-25,4422.05,debit,Wallet
4511,2025-02-07,6050.23,credit,Bank Transfer
4340,2025-09-07,7083.83,credit,Bank Transfer
3249,2025-01-20,2703.59,credit,Cash
2131,2025-07-03,8677.51,debit,Bank Transfer
127,2025-06-17,8211.38,debit,Bank Transfer
1701,2024-03-23,3249.35,debit,Bank Transfer
2336,2025-10-02,5145.6,credit,Wallet
3023,2025-06-15,8421.62,debit,Wallet
3159,2024-10-30,7465.84,credit,Wallet
1523,2024-04-10,4326.51,credit,Cash
1395,2023-11-08,6628.68,credit,Cash
3060,2025-02-13,10994.4,credit,UPI
4811,2024-09-18,5210.32,debit,Wallet
673,2024-07-10,3734.7,credit,Cash
1103,2024-09-26,5344.84,credit,Wallet
2783,2025-08-23,5493.1,credit,Wallet
1230,2025-08-06,3950.93,debit,Wallet
278,2024-05-17,5883.25,debit,UPI
938,2024-02-11,2491.2,credit,Cash
507,2025-07-25,3668.93,credit,Bank Transfer
2799,2024-08-11,6516.49,credit,Wallet
3852,2025-05-27,1490.26,credit,UPI
4922,2024-11-30,6806.34,credit,UPI
2221,2025-02-09,976.04,credit,UPI
718,2025-02-03,1537.35,debit,UPI
2866,2024-05-24,4002.04,credit,Wallet
1862,2025-07-15,5573.73,credit,UPI
4505,2025-04-02,7650.53,debit,Wallet
2877,2025-10-15,5115.25,debit,Wallet
1522,2025-03-05,4506.89,credit,Bank Transfer
881,2025-07-12,6159.16,credit,Wallet
2748,2023-11-10,3258.2,credit,Cash
4230,2023-11-04,5278.83,debit,UPI
448,2025-03-30,2601.11,credit,Bank Transfer
4760,2024-05-28,5165.18,credit,Cash
1486,2025-05-24,4740.33,debit,Cash
2223,2024-07-08,3391.46,debit,Bank Transfer
225,2025-03-27,5330.08,debit,Wallet
703,2024-12-26,5317.1,debit,Cash
1049,2024-11-09,7350.91,credit,UPI
4841,2024-08-06,1788.73,debit,Wallet
2273,2024-02-15,4847.9,debit,UPI
4520,2025-06-10,3479.48,credit,Cash
2855,2023-11-24,6739.52,debit,UPI
2414,2024-03-10,6507.82,credit,Cash
610,2024-02-20,6015.76,credit,Wallet
1397,2025-10-07,3592.33,debit,Bank Transfer
3093,2025-01-01,6770.94,credit,Bank Transfer
632,2024-03-09,1939.74,credit,UPI
4319,2023-11-20,1529.38,credit,Wallet
933,2024-09-23,2448.26,debit,UPI
4312,2024-04-01,4933.05,debit,UPI
1637,2025-04-09,6350.33,debit,Cash
4246,2025-08-11,952.06,debit,Wallet
1608,2025-06-26,7645.49,credit,Bank Transfer
1270,2024-12-22,5262.22,credit,Bank Transfer
3804,2024-05-02,1864.46,credit,Cash
3530,2025-05-16,5201.89,debit,Bank Transfer
4756,2024-06-26,7185.05,credit,Bank Transfer
3918,2025-01-19,6198.88,credit,Wallet
1531,2025-03-02,7198.15,debit,Cash
4927,2024-04-11,2267.51,credit,Bank Transfer
3527,2025-08-24,4171.99,credit,UPI
3585,2023-12-03,3150.62,credit,UPI
1868,2024-01-26,8435.16,debit,UPI
1484,2024-11-29,6278.73,debit,UPI
3137,2024-06-30,10694.02,debit,UPI
3165,2024-07-03,4064.78,debit,Cash
4076,2025-02-23,3550.65,credit,Cash
1188,2025-03-04,4714.35,debit,UPI
